loan_id,customer_id,origination_date,original_principal_eur,interest_rate_pct,term_months,monthly_payment_eur,outstanding_balance_eur,days_past_due,loan_status,default_flag,customer_risk_score
L00330,C00762,2022-09-27,23100,7.27,60,460.36,5599.88,0,Current,0,715
L00331,C02301,2026-05-27,32000,4.67,48,732.16,30318.92,0,Current,0,674
L00332,C01243,2025-04-30,14400,6.37,60,280.88,11233.07,0,Current,0,763
L00333,C00776,2024-09-22,33000,8.17,36,1036.69,14927.35,0,Current,0,621
L00334,C00088,2026-01-07,32300,5.97,36,982.19,26336.2,0,Current,0,728
L00335,C02292,2026-07-10,5000,6.25,60,97.25,4930.64,0,Current,0,703
L00336,C02068,2022-05-27,35500,8.37,36,1118.51,5335.51,0,Current,0,715
L00337,C00830,2024-09-02,33400,6.32,24,1485.13,6812.99,0,Current,0,613
L00338,C00968,2025-03-30,33300,7.13,72,569.81,25693.97,0,Current,0,672
L00339,C02058,2023-05-30,33600,7.44,24,1511.07,1008.0,0,Current,0,629
L00340,C02267,2025-11-04,26000,3.5,48,581.26,21412.96,0,Current,0,832
L00341,C00476,2022-06-22,7200,7.12,72,123.17,2527.85,0,Current,0,680
L00342,C01885,2025-12-20,23100,9.73,48,582.88,19801.51,0,Current,0,560
L00343,C00595,2025-08-05,11600,6.06,60,224.58,9653.74,0,Current,0,649
L00344,C01689,2022-07-14,24700,7.5,48,597.22,2181.54,0,Current,0,670
L00345,C01754,2024-03-29,27800,8.56,72,495.06,16690.4,0,Current,0,631
L00346,C00182,2026-02-13,16400,4.75,48,375.83,14791.56,0,Current,0,735
L00347,C01685,2025-02-16,36600,11.5,60,804.93,26200.91,0,Current,0,505
L00348,C02125,2025-11-12,31800,5.94,24,1408.54,20827.38,0,Current,0,664
L00349,C02002,2025-05-09,18600,9.44,72,339.35,15234.86,0,Current,0,679
L00350,C01832,2026-01-30,27600,9.38,36,882.56,23001.99,0,Current,0,609
L00351,C02425,2026-07-02,12700,11.4,48,330.71,12474.2,0,Current,0,577
L00352,C00325,2022-09-29,2900,7.48,24,130.47,511.22,0,Current,0,689
L00353,C00864,2021-02-16,10200,6.8,24,455.76,306.0,0,Current,0,590
L00354,C02277,2024-10-09,18300,8.57,24,832.42,2466.65,0,Current,0,610
L00355,C02057,2021-07-26,19200,7.96,24,868.01,3567.78,0,Current,0,488
L00356,C00569,2026-07-27,14500,4.9,72,232.85,14295.71,0,Current,0,745
L00357,C01551,2026-02-19,13900,9.29,48,347.82,12528.44,0,Current,0,627
L00358,C00148,2026-02-19,23400,9.26,24,1071.82,18522.26,0,Current,0,557
L00359,C00391,2026-04-23,25500,7.24,48,613.47,23499.68,0,Current,0,640
L00360,C01016,2026-07-30,27900,7.39,72,480.91,27562.52,0,Current,0,744
L00361,C01706,2024-09-20,23500,9.97,24,1084.08,3660.14,0,Current,0,593
L00362,C02100,2024-07-25,34100,6.31,48,805.7,17798.05,0,Current,0,763
L00363,C00861,2026-02-24,13300,7.05,72,227.07,12338.37,0,Current,0,614
L00364,C01577,2021-04-19,18500,8.02,24,836.87,1839.5,0,Current,0,708
L00365,C01094,2026-06-17,8400,6.56,48,199.44,8121.35,0,Current,0,677
L00366,C00732,2024-09-25,23600,5.58,72,386.46,17421.22,0,Current,0,773
L00367,C01785,2025-07-01,22600,6.73,36,695.04,15032.48,0,Current,0,625
L00368,C01576,2025-05-01,3400,7.98,72,59.58,2831.04,0,Current,0,560
L00369,C01758,2024-08-07,33300,5.41,24,1467.04,6808.15,0,Current,0,767
L00370,C01751,2024-10-27,18700,9.46,72,341.36,13024.72,0,Current,0,707
L00371,C00091,2023-02-12,31600,6.51,24,1407.8,948.0,0,Current,0,670
L00372,C01675,2025-11-27,5900,9.25,24,270.22,3706.32,0,Current,0,631
L00373,C00721,2025-04-10,9000,5.52,24,396.94,2999.21,0,Current,0,664
L00374,C00931,2023-05-22,33600,5.04,60,634.69,12188.9,0,Current,0,799
L00375,C00075,2021-06-03,10200,6.86,24,456.03,1792.53,0,Current,0,748
L00376,C02271,2022-09-19,12500,5.4,48,290.14,528.37,0,Current,0,675
L00377,C01486,2021-01-17,9900,6.4,36,302.97,592.75,0,Current,0,689
L00378,C01350,2025-05-02,24800,8.63,24,1128.78,9240.42,0,Current,0,578
L00379,C00254,2023-03-18,6200,7.39,60,123.91,2682.29,0,Current,0,623
L00380,C02402,2026-01-24,27300,8.65,60,562.08,24631.4,0,Current,0,518
L00381,C01810,2026-05-29,4100,7.18,24,183.9,3626.07,0,Current,0,629
L00382,C02168,2024-02-22,6800,6.01,60,131.49,3434.33,0,Current,0,626
L00383,C02408,2023-12-30,22100,5.18,72,357.77,12637.78,0,Current,0,754
L00384,C00409,2026-03-15,7200,4.62,72,114.69,6693.73,0,Current,0,654
L00385,C00101,2024-06-13,31200,6.85,24,1394.78,3838.25,0,Current,0,693
L00386,C01917,2024-10-10,6200,6.96,36,191.32,2562.9,0,Current,0,703
L00387,C01138,2025-10-25,29300,6.62,24,1306.79,19122.63,0,Current,0,742
L00388,C01304,2023-11-19,4700,11.27,72,90.11,2658.95,15,Late,0,556
L00389,C00032,2025-08-12,28200,6.91,48,674.11,22181.8,0,Current,0,705
L00390,C02434,2025-05-15,33300,7.07,24,1491.98,15914.21,0,Current,0,724
L00391,C01446,2026-05-12,18000,8.52,24,818.37,15906.63,0,Current,0,662
L00392,C00268,2024-03-02,5400,7.14,48,129.66,2826.37,0,Current,0,729
L00393,C02012,2026-02-08,26600,6.53,60,520.83,24453.27,0,Current,0,689
L00394,C01183,2025-09-07,4600,4.45,72,72.91,3925.1,0,Current,0,766
L00395,C00055,2022-04-05,30900,6.91,72,525.48,12561.3,0,Current,0,769
L00396,C00848,2025-10-13,34900,8.59,24,1587.84,22150.58,0,Current,0,638
L00397,C00611,2025-11-20,3800,8.11,36,119.27,2879.73,0,Current,0,640
L00398,C00613,2024-11-06,20200,8.36,72,357.73,14865.78,0,Current,0,679
L00399,C02318,2024-07-05,21600,7.85,48,525.8,12468.93,0,Current,0,647
L00400,C01502,2026-01-07,19200,6.47,60,375.4,17140.36,0,Current,0,722
L00401,C01476,2026-04-13,18900,7.19,60,375.94,17777.31,0,Current,0,658
L00402,C01092,2023-10-22,4600,6.57,36,141.13,811.12,0,Current,0,734
L00403,C00434,2022-09-06,10200,6.66,60,200.34,2166.3,0,Current,0,740
L00404,C02114,2022-08-09,13300,8.2,48,325.94,420.69,0,Current,0,641
L00405,C01538,2024-09-12,10100,7.17,72,173.02,6977.8,0,Current,0,744
L00406,C00507,2022-07-13,19800,7.86,60,400.15,6309.81,0,Current,0,688
L00407,C00800,2025-02-26,9400,5.89,48,220.29,6061.37,0,Current,0,742
L00408,C01616,2022-08-13,11100,4.39,24,483.95,333.0,0,Current,0,735
L00409,C00151,2024-03-11,17400,6.31,60,338.9,9764.86,0,Current,0,764
L00410,C00824,2026-03-06,30300,6.3,24,1347.01,24882.32,0,Current,0,657
L00411,C00358,2024-07-17,37800,11.05,72,720.46,25254.31,0,Current,0,504
L00412,C00731,2026-05-28,20900,9.47,60,438.63,19864.86,0,Current,0,670
L00413,C00674,2022-11-18,26400,4.19,36,781.67,1950.69,0,Current,0,739
L00414,C01612,2022-04-21,32200,8.42,24,1462.49,6066.02,0,Current,0,646
L00415,C01623,2024-04-02,11000,4.84,72,176.34,7110.63,0,Current,0,772
L00416,C01662,2021-03-26,15400,4.42,48,350.62,2286.0,0,Current,0,729
L00417,C01174,2025-05-14,28200,6.81,60,555.87,21076.79,15,Late,0,627
L00418,C00082,2025-12-19,28600,9.14,36,911.34,23420.7,0,Current,0,685
L00419,C01230,2026-07-29,37400,9.29,36,1194.36,36568.09,0,Current,0,645
L00420,C01069,2025-12-28,22200,7.97,60,449.82,19550.01,0,Current,0,681
L00421,C01976,2024-06-27,20000,7.44,60,400.19,11649.71,0,Current,0,709
L00422,C01606,2023-08-18,14200,6.22,36,433.41,1300.64,0,Current,0,650
L00423,C00561,2023-09-01,33400,4.89,36,999.38,5757.0,0,Current,0,821
L00424,C01595,2026-05-13,18000,10.02,48,456.7,17044.01,0,Current,0,680
L00425,C02257,2025-07-05,24700,7.98,36,773.78,17372.69,0,Current,0,767
L00426,C01735,2025-10-11,16800,7.58,24,756.6,10973.14,0,Current,0,688
L00427,C01678,2026-06-15,4800,7.18,24,215.3,4415.32,0,Current,0,700
L00428,C00539,2026-02-09,18600,7.31,24,835.39,14582.16,0,Current,0,623
L00429,C02439,2026-05-29,3800,8.3,48,93.31,3575.75,0,Current,0,691
L00430,C01125,2026-05-27,15200,6.51,36,465.93,14189.59,0,Current,0,635
L00431,C01977,2025-05-26,9400,5.7,60,180.42,7291.23,0,Current,0,682
L00432,C01058,2025-12-13,3100,3.81,72,48.23,2811.06,0,Current,0,795
L00433,C00927,2025-03-16,28300,5.01,72,455.9,22274.19,0,Current,0,617
L00434,C00371,2025-12-03,22400,5.58,72,366.81,20200.4,0,Current,0,760
L00435,C00331,2021-08-21,31200,6.73,36,959.52,1565.76,0,Current,0,686
L00436,C01135,2021-06-19,24400,6.8,60,480.85,4158.29,0,Current,0,723
L00437,C01873,2026-06-17,4900,5.02,36,146.9,4639.3,0,Current,0,808
L00438,C01965,2022-11-24,33500,6.42,36,1025.52,1005.0,90,Default,1,691
L00439,C00284,2024-04-19,42000,4.68,36,1252.75,10293.41,0,Current,0,728
L00440,C01049,2025-10-23,15800,9.26,60,329.98,13730.54,0,Current,0,552
L00441,C02447,2024-08-12,5100,7.39,36,158.38,1802.47,0,Current,0,678
L00442,C01137,2024-12-28,22300,5.36,36,671.96,12077.81,0,Current,0,660
L00443,C01955,2025-11-25,24200,11.46,60,531.74,20885.34,0,Current,0,581
L00444,C00497,2025-07-10,16200,8.1,72,284.83,13405.02,0,Current,0,782
L00445,C01244,2026-06-06,21100,7.94,36,660.61,19958.45,0,Current,0,578
L00446,C00473,2024-04-01,25400,9.76,36,816.73,7839.83,0,Current,0,591
L00447,C00310,2022-11-21,6000,5.82,72,98.93,2894.98,0,Current,0,601
L00448,C00508,2026-05-21,24200,8.09,48,591.82,22672.53,0,Current,0,773
L00449,C01403,2025-08-28,10800,6.79,48,257.57,8665.42,0,Current,0,675
L00450,C01028,2024-05-29,22100,5.34,24,972.93,3764.89,0,Current,0,729
L00451,C00306,2026-04-23,16200,7.23,48,389.66,14882.59,0,Current,0,685
L00452,C01587,2025-05-31,28000,9.79,36,900.72,16915.56,0,Current,0,664
L00453,C00891,2025-07-21,6700,6.31,48,158.3,5163.11,0,Current,0,713
L00454,C00352,2025-12-19,43100,7.91,72,753.79,38991.28,0,Current,0,610
L00455,C01614,2023-06-13,20900,3.69,24,904.7,627.0,0,Current,0,705
L00456,C00393,2025-05-27,41200,7.91,60,833.61,31331.72,0,Current,0,614
L00457,C01367,2025-12-28,21600,5.8,60,415.58,19268.35,0,Current,0,737
L00458,C00669,2025-03-28,25200,8.85,36,799.6,13187.92,0,Current,0,613
L00459,C00935,2024-05-07,26300,9.21,24,1204.04,5401.61,0,Current,0,675
L00460,C00122,2025-09-18,16600,5.89,60,320.08,13578.1,0,Current,0,700
L00461,C02464,2024-01-17,24600,7.46,60,492.47,13637.29,0,Current,0,674
L00462,C02256,2026-01-31,35900,7.17,72,614.99,32487.92,0,Current,0,692
L00463,C01298,2023-08-05,39400,6.48,72,661.94,22233.98,0,Current,0,738
L00464,C02484,2024-12-30,13300,7.47,36,413.53,7145.75,0,Current,0,666
L00465,C02313,2022-07-05,21600,4.78,72,345.67,9524.59,0,Current,0,729
L00466,C01098,2025-07-07,41300,4.42,48,940.3,30462.17,0,Current,0,775
L00467,C00077,2026-07-27,21900,7.01,60,433.75,21527.88,0,Current,0,716
L00468,C00025,2025-12-26,25400,5.0,60,479.33,22186.12,0,Current,0,704
L00469,C02103,2024-12-18,32800,9.63,36,1052.68,14722.69,0,Current,0,580
L00470,C00671,2026-05-28,20900,7.13,24,936.98,18280.07,0,Current,0,760
L00471,C01175,2024-02-15,21000,5.51,72,343.19,12554.95,0,Current,0,743
L00472,C00578,2025-07-17,12300,5.6,72,201.53,10479.04,0,Current,0,728
L00473,C01322,2026-05-21,21600,8.47,36,681.56,20025.88,0,Current,0,633
L00474,C00492,2026-07-24,38500,3.61,72,595.52,38030.52,0,Current,0,777
L00475,C02065,2023-12-09,11500,7.33,48,277.15,5264.71,0,Current,0,539
L00476,C02332,2023-10-20,4800,4.2,60,88.83,2599.51,0,Current,0,742
L00477,C02276,2022-03-27,6000,7.34,60,119.77,1420.87,0,Current,0,725
L00478,C02262,2025-11-06,17300,6.49,72,290.73,15133.16,0,Current,0,715
L00479,C00259,2021-11-13,17000,9.71,72,312.46,3970.63,0,Current,0,713
L00480,C02044,2026-07-26,27400,8.29,48,672.65,26883.89,0,Current,0,675
L00481,C00022,2026-06-12,17600,5.83,24,778.7,16237.06,0,Current,0,675
L00482,C02254,2022-12-24,24700,7.51,48,597.33,3464.48,0,Current,0,719
L00483,C00214,2026-06-25,16500,9.15,48,411.78,15838.2,0,Current,0,558
L00484,C00452,2024-01-06,9400,10.83,24,437.37,1764.38,0,Current,0,526
L00485,C00639,2022-08-09,45000,5.02,24,1974.62,9503.87,0,Current,0,689
L00486,C02013,2024-09-09,26500,8.37,24,1203.0,3619.05,0,Current,0,680
L00487,C01320,2023-10-07,30400,5.73,72,499.95,16481.0,0,Current,0,704
L00488,C00206,2022-09-28,12300,8.89,48,305.44,369.0,0,Current,0,587
L00489,C01040,2023-10-10,13500,5.74,24,596.75,1180.88,0,Current,0,730
L00490,C00736,2021-07-24,8300,7.63,36,258.68,536.83,0,Current,0,637
L00491,C00911,2024-02-25,10100,9.3,24,462.81,303.0,0,Current,0,547
L00492,C00505,2021-04-18,12000,7.81,24,541.69,2623.02,0,Current,0,772
L00493,C01674,2026-03-15,41100,6.32,72,687.37,38328.52,0,Current,0,667
L00494,C01525,2022-12-16,30300,6.7,60,595.7,11212.71,0,Current,0,678
L00495,C00060,2025-03-02,8000,7.41,60,159.96,5718.43,0,Current,0,587
L00496,C02347,2023-08-27,4600,10.37,36,149.23,877.98,0,Current,0,549
L00497,C00488,2025-11-12,12100,6.2,48,285.28,10226.54,0,Current,0,716
L00498,C00374,2024-04-26,14600,7.81,72,254.63,9666.4,0,Current,0,737
L00499,C00269,2021-12-15,13900,5.66,60,266.53,3194.71,0,Current,0,789
L00500,C01051,2024-04-13,14700,5.43,60,280.31,9027.63,0,Current,0,738
L00501,C02166,2026-06-30,7400,6.59,48,175.8,7131.23,0,Current,0,637
L00502,C00517,2026-04-12,42400,6.98,48,1014.93,39554.68,0,Current,0,675
L00503,C00765,2024-09-13,7900,8.04,48,193.01,4482.49,0,Current,0,701
L00504,C01115,2024-03-01,20400,11.43,36,672.03,7427.35,0,Current,0,556
L00505,C00960,2023-05-19,5600,5.87,60,107.93,1957.45,0,Current,0,747
L00506,C00514,2025-12-31,23400,10.18,60,499.26,20384.45,0,Current,0,608
L00507,C00869,2024-11-06,3400,7.78,72,59.25,2591.36,0,Current,0,745
L00508,C02483,2025-04-30,7900,7.23,36,244.76,5100.73,0,Current,0,716
L00509,C02400,2023-01-10,3400,7.98,36,106.51,491.24,0,Current,0,727
L00510,C02283,2023-02-21,21100,7.1,24,945.66,4505.29,0,Current,0,642
L00511,C01660,2025-05-22,19200,8.17,60,390.87,14401.81,0,Current,0,719
L00512,C00995,2023-05-17,3300,7.46,36,102.59,99.0,0,Current,0,605
L00513,C01659,2026-07-22,21200,7.71,60,426.92,20906.89,0,Current,0,614
L00514,C01799,2026-07-31,4800,7.95,24,216.98,4622.91,0,Current,0,600
L00515,C00844,2023-12-05,11100,6.18,36,338.59,1755.22,0,Current,0,659
L00516,C02437,2026-07-26,27200,8.84,60,562.52,26811.44,0,Current,0,701
L00517,C02442,2025-08-29,13600,6.03,72,225.58,11541.2,0,Current,0,684
L00518,C00553,2026-06-07,29600,9.18,48,739.13,28348.56,0,Current,0,566
L00519,C02352,2026-07-27,19700,7.11,48,472.75,19284.37,0,Current,0,618
L00520,C01294,2025-09-08,11000,4.29,60,204.02,8990.76,0,Current,0,738
L00521,C01078,2023-09-19,9100,6.04,48,213.88,3552.24,0,Current,0,645
L00522,C00513,2024-12-25,5300,9.43,24,243.18,1174.46,0,Current,0,677
L00523,C00273,2025-04-25,14500,5.66,36,438.89,7981.67,0,Current,0,720
L00524,C01831,2025-05-03,2700,7.33,60,53.88,2015.13,0,Current,0,684
L00525,C02375,2025-01-19,18400,6.19,72,306.59,14107.26,0,Current,0,627
L00526,C00061,2025-06-06,8700,6.98,36,268.55,5849.05,0,Current,0,705
L00527,C01666,2023-10-18,27100,5.68,36,820.51,6709.43,0,Current,0,678
L00528,C01862,2022-05-07,6800,6.84,48,162.33,204.0,0,Current,0,684
L00529,C00892,2023-10-15,20300,5.92,48,476.0,5869.37,0,Current,0,718
L00530,C00694,2025-10-31,36700,8.58,48,905.98,29485.78,0,Current,0,714
L00531,C01391,2025-08-07,9700,4.65,48,221.85,7358.0,0,Current,0,830
L00532,C02247,2026-06-05,6600,7.23,60,131.41,6412.99,0,Current,0,690
L00533,C01861,2025-05-28,6900,7.06,72,117.84,5724.42,0,Current,0,759
L00534,C00841,2024-01-09,25000,6.18,24,1110.04,2057.13,0,Current,0,655
L00535,C00212,2024-03-25,17200,7.6,24,774.78,2792.42,0,Current,0,619
L00536,C01667,2026-05-10,40600,5.25,48,939.59,38504.96,0,Current,0,710
L00537,C01933,2025-07-15,17100,10.84,24,795.72,9261.88,0,Current,0,702
L00538,C01259,2022-09-30,11200,9.86,72,206.7,4124.87,0,Current,0,738
L00539,C02383,2026-03-03,11500,7.87,24,519.43,9265.75,0,Current,0,646
L00540,C00992,2021-12-24,6700,6.86,72,113.78,1552.62,0,Current,0,710
L00541,C01907,2026-04-15,4300,3.65,60,78.51,4037.49,0,Current,0,734
L00542,C00980,2025-02-05,32400,3.5,24,1399.77,11513.86,0,Current,0,741
L00543,C00822,2025-09-16,4900,6.53,60,95.94,4039.71,0,Current,0,771
L00544,C00705,2026-06-03,14000,4.24,72,220.57,13692.41,0,Current,0,753
L00545,C00849,2025-05-22,10600,3.79,72,164.83,8347.83,0,Current,0,832
L00546,C00105,2024-05-23,29600,6.47,72,497.15,18801.21,0,Current,0,794
L00547,C01947,2025-05-22,4900,9.66,24,225.34,1819.2,0,Current,0,565
L00548,C02141,2024-01-02,17400,9.97,48,441.06,6344.06,0,Current,0,723
L00549,C01366,2025-05-18,30000,6.12,72,498.89,24296.17,0,Current,0,666
L00550,C01170,2025-08-31,13800,11.92,72,269.22,11771.19,0,Current,0,568
L00551,C00909,2022-02-26,32800,7.03,36,1013.22,3118.18,0,Current,0,663
L00552,C01637,2025-05-03,13800,9.09,72,249.37,10932.43,0,Current,0,777
L00553,C01765,2025-01-17,27600,7.02,48,661.17,17779.95,0,Current,0,732
L00554,C01984,2023-01-10,12900,5.74,48,301.42,1242.94,0,Current,0,717
L00555,C00085,2026-03-31,15200,10.06,72,282.05,14364.65,0,Current,0,612
L00556,C02401,2022-11-01,9400,7.76,24,424.11,1942.37,0,Current,0,662
L00557,C00534,2025-10-05,4900,11.14,48,126.98,3933.5,0,Current,0,585
L00558,C00820,2022-04-11,8400,7.72,72,146.13,2430.97,0,Current,0,644
L00559,C00282,2026-03-11,19400,9.01,60,402.81,18112.69,0,Current,0,660
L00560,C00437,2026-07-30,15200,7.11,60,301.77,14972.39,0,Current,0,638
L00561,C00993,2025-05-11,17900,8.97,24,817.51,6948.71,0,Current,0,658
L00562,C01374,2024-01-06,8000,10.94,36,261.68,1953.66,0,Current,0,616
L00563,C01601,2021-09-25,17100,6.79,24,763.98,2961.13,0,Current,0,620
L00564,C00342,2024-11-29,40800,8.23,72,719.95,30562.16,0,Current,0,580
L00565,C01727,2026-07-05,23300,8.89,36,739.74,22786.36,0,Current,0,696
L00566,C00868,2025-04-05,17900,7.1,24,802.24,5756.9,0,Current,0,695
L00567,C02415,2026-05-05,19700,4.83,36,588.92,18261.39,0,Current,0,711
L00568,C01580,2025-01-06,3200,7.36,72,55.11,2351.19,0,Current,0,644
L00569,C01056,2022-12-11,9400,5.47,36,283.71,282.0,0,Current,0,589
L00570,C01777,2025-11-10,38600,8.0,72,676.78,34418.2,0,Current,0,629
L00571,C00767,2024-08-01,24400,5.86,24,1079.88,4434.83,0,Current,0,691
L00572,C01168,2025-07-14,25100,4.83,48,576.1,18812.83,0,Current,0,791
L00573,C02095,2025-05-25,23800,9.81,24,1096.16,9407.98,0,Current,0,490
L00574,C02345,2021-04-04,2800,9.16,24,128.12,311.77,0,Current,0,685
L00575,C02472,2021-09-01,16200,6.81,60,319.33,1680.93,0,Current,0,680
L00576,C00633,2024-01-05,6500,8.16,24,294.45,342.88,0,Current,0,690
L00577,C00535,2026-03-04,18600,4.84,24,814.68,14774.36,0,Current,0,755
L00578,C00440,2026-06-01,35400,6.13,48,833.48,34115.73,0,Current,0,727
L00579,C01911,2025-05-17,40400,8.42,48,994.27,29443.24,0,Current,0,774
L00580,C01150,2025-04-26,7600,6.79,36,233.94,4650.28,0,Current,0,746
L00581,C00384,2025-07-14,36900,9.51,48,927.22,26974.28,0,Current,0,669
L00582,C01117,2026-04-01,6400,9.23,60,133.57,5981.38,0,Current,0,626
L00583,C00780,2026-03-28,11500,8.45,60,235.66,10674.61,0,Current,0,657
L00584,C02009,2024-07-25,17900,7.39,24,804.6,2727.11,0,Current,0,604
L00585,C00999,2025-01-04,17900,10.25,24,828.06,4647.77,0,Current,0,601
L00586,C00383,2026-03-26,19700,8.99,48,490.14,17696.16,0,Current,0,622
L00587,C01568,2025-06-11,37100,7.91,24,1676.41,16624.05,0,Current,0,689
L00588,C01073,2026-07-07,6900,5.1,24,303.02,6615.06,0,Current,0,633
L00589,C00608,2022-11-17,6500,6.69,48,154.72,715.59,0,Current,0,700
L00590,C00221,2026-03-21,10000,6.57,60,195.99,9170.08,0,Current,0,643
L00591,C02238,2025-02-19,8800,7.44,24,395.76,2442.81,0,Current,0,696
L00592,C01529,2024-03-24,15200,4.98,48,349.91,6466.06,0,Current,0,705
L00593,C01997,2025-11-12,15300,4.07,48,345.94,12741.37,0,Current,0,833
L00594,C01713,2025-12-03,8000,5.54,24,352.91,5790.37,0,Current,0,642
L00595,C01383,2021-03-05,28500,8.72,60,587.75,855.0,0,Current,0,610
L00596,C01274,2025-01-22,19400,6.92,36,598.31,9830.32,0,Current,0,698
L00597,C01418,2025-06-15,25500,9.66,72,468.05,21228.29,0,Current,0,572
L00598,C01999,2022-10-11,32500,5.54,72,531.59,11948.36,0,Current,0,657
L00599,C02136,2026-07-19,37700,6.75,36,1159.76,36756.6,0,Current,0,662
L00600,C00854,2024-05-14,19200,5.63,48,447.66,8684.06,0,Current,0,699
L00601,C01851,2026-05-17,19400,7.65,60,390.12,18462.84,0,Current,0,601
L00602,C01915,2023-02-10,26000,6.97,24,1163.73,1504.43,0,Current,0,650
L00603,C00727,2026-06-10,7300,4.58,72,116.15,7130.07,0,Current,0,732
L00604,C01806,2024-08-02,28800,4.05,48,650.92,17198.07,0,Current,0,779
L00605,C00321,2024-11-02,28400,8.4,36,895.2,14900.12,0,Current,0,659
L00606,C00666,2024-06-27,35900,7.94,48,875.41,17916.97,0,Current,0,653
L00607,C00948,2025-02-09,5300,7.92,24,239.51,1353.14,0,Current,0,678
L00608,C01645,2026-06-12,22400,7.18,60,445.45,21713.97,0,Current,0,600
L00609,C00250,2026-06-14,9400,9.6,72,172.25,9163.39,0,Current,0,586
L00610,C01870,2026-07-12,27600,7.72,36,861.32,26966.72,0,Current,0,634
L00611,C00796,2026-03-24,2700,6.6,36,82.88,2393.78,0,Current,0,702
L00612,C02414,2022-02-01,3300,7.54,36,102.71,658.77,0,Current,0,655
L00613,C00518,2022-12-29,11400,5.57,24,503.05,1647.41,0,Current,0,634
L00614,C01107,2025-05-09,24700,7.08,36,763.57,15849.38,0,Current,0,686
L00615,C01853,2025-09-22,22800,4.54,48,520.33,18608.88,0,Current,0,725
L00616,C01273,2022-06-07,34900,10.74,72,659.65,10479.32,0,Current,0,645
L00617,C00315,2025-09-11,12900,11.25,36,423.86,9807.73,0,Current,0,653
L00618,C01005,2025-09-05,30800,7.84,24,1390.75,19464.56,0,Current,0,698
L00619,C00017,2021-06-04,35100,8.4,72,622.29,11142.11,15,Late,0,641
L00620,C02497,2026-03-12,14800,10.89,60,320.98,13624.21,0,Current,0,596
L00621,C01663,2025-02-26,15500,4.44,48,353.04,10219.94,0,Current,0,797
L00622,C01289,2025-12-29,40100,6.7,36,1232.68,32745.35,0,Current,0,646
L00623,C01457,2025-03-24,3500,8.61,60,71.99,2506.03,0,Current,0,538
L00624,C00430,2026-07-15,13400,9.38,24,614.51,12878.85,0,Current,0,684
L00625,C02063,2021-02-18,15800,7.48,72,273.03,3594.86,0,Current,0,675
L00626,C01828,2025-07-29,4200,6.76,36,129.22,2735.39,0,Current,0,728
L00627,C02154,2025-09-04,18200,5.03,48,419.38,14785.47,0,Current,0,741
L00628,C01217,2025-12-30,7300,4.07,72,114.44,6488.65,0,Current,0,747
L00629,C00547,2024-09-29,23800,5.55,72,389.4,16080.76,0,Current,0,700
L00630,C02088,2023-04-08,7800,8.3,36,245.5,658.87,0,Current,0,785
L00631,C02046,2026-01-25,27000,7.5,60,541.02,23818.59,0,Current,0,600
L00632,C00093,2025-03-06,8700,8.06,48,212.64,6292.76,0,Current,0,674
L00633,C02304,2024-06-05,19500,8.5,72,346.68,12797.82,0,Current,0,600
L00634,C00764,2026-05-02,23200,9.18,48,579.32,21744.12,0,Current,0,617
L00635,C02284,2025-05-15,25000,7.19,24,1121.47,11526.97,0,Current,0,664
L00636,C01083,2025-08-22,19200,8.16,72,338.14,15979.9,0,Current,0,646
L00637,C02106,2026-02-21,17800,7.16,48,427.57,15607.98,0,Current,0,700
L00638,C00860,2023-10-06,5300,7.16,72,90.77,2774.6,0,Current,0,642
L00639,C00770,2026-01-11,16100,8.85,48,399.5,14031.63,0,Current,0,530
L00640,C01351,2025-04-17,38900,6.66,60,764.04,30211.97,0,Current,0,710
L00641,C01310,2025-05-18,7900,5.94,24,349.92,2975.11,0,Current,0,625
L00642,C01891,2025-11-14,19000,11.37,60,416.62,16646.97,0,Current,0,625
L00643,C00859,2026-07-28,3500,10.01,48,88.79,3442.23,0,Current,0,568
L00644,C00716,2025-08-05,3800,8.52,36,119.99,2686.3,0,Current,0,629
L00645,C00678,2026-01-19,33700,9.14,72,609.8,30524.89,0,Current,0,670
L00646,C01433,2025-10-07,32200,7.32,24,1446.35,18948.32,0,Current,0,582
L00647,C00582,2025-02-11,7300,6.3,24,324.53,1805.1,0,Current,0,719
L00648,C01935,2026-03-10,2700,7.62,24,121.65,2209.01,0,Current,0,704
L00649,C01388,2025-07-01,25900,8.18,24,1173.51,13634.42,0,Current,0,700
L00650,C00232,2023-04-26,23700,4.88,60,445.95,10784.78,0,Current,0,740
L00651,C01985,2022-05-29,11600,6.07,48,272.8,1773.57,0,Current,0,806
L00652,C00038,2025-06-29,12900,9.29,48,322.8,9839.67,0,Current,0,571
L00653,C01268,2026-04-20,12800,5.51,60,244.55,12123.46,0,Current,0,720
L00654,C01381,2025-04-02,40400,7.47,72,697.93,31872.17,0,Current,0,636
L00655,C01469,2024-12-27,17500,7.83,24,790.12,4822.03,0,Current,0,630
L00656,C00257,2026-02-14,10200,6.79,36,313.97,8663.44,0,Current,0,765
L00657,C01654,2026-06-09,5100,10.05,24,235.46,4679.06,0,Current,0,596
L00658,C01484,2025-10-11,20300,8.18,72,357.71,17898.65,0,Current,0,559
L00659,C00230,2026-06-21,8400,5.87,60,161.89,8177.14,0,Current,0,817
L00660,C01845,2026-07-23,7600,7.01,24,340.31,7282.87,0,Current,0,650
